                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.0201,                 1.2408,                0.89964,                0.50881,                0.76402,                 0.5652,                0.42923,                0.89735,                 1.2391,                0.86214,              0.0012104,              0.0012104,              0.0012104
                     86,                 1.0092,                  1.278,                0.89212,                0.50881,                0.76402,                 0.5652,                0.42923,                0.89735,                 1.2391,                0.86214,              0.0012049,              0.0012049,              0.0012049
                     87,                0.99376,                 1.1593,                0.89428,                 0.5035,                0.75326,                0.56901,                0.43372,                0.90598,                 1.2225,                0.85757,              0.0011994,              0.0011994,              0.0011994
                     88,                 1.0308,                 1.1558,                0.87245,                 0.5035,                0.75326,                0.56901,                0.43372,                0.90598,                 1.2225,                0.85757,              0.0011939,              0.0011939,              0.0011939
                     89,                  1.068,                 1.2472,                0.89624,                 0.5035,                0.75326,                0.56901,                0.43372,                0.90598,                 1.2225,                0.85757,              0.0011884,              0.0011884,              0.0011884
                     90,                 1.0532,                 1.2082,                0.92082,                0.50273,                0.75204,                0.57348,                 0.4401,                0.87952,                 1.2151,                0.85457,              0.0011829,              0.0011829,              0.0011829
                     91,                  1.018,                 1.1088,                0.89537,                0.50273,                0.75204,                0.57348,                 0.4401,                0.87952,                 1.2151,                0.85457,              0.0011774,              0.0011774,              0.0011774
                     92,                0.94612,                 1.2105,                0.88965,                0.50273,                0.75204,                0.57348,                 0.4401,                0.87952,                 1.2151,                0.85457,              0.0011719,              0.0011719,              0.0011719
                     93,                 1.0324,                 1.1946,                0.87721,                0.50957,                0.76839,                0.58912,                0.43154,                 0.9805,                 1.2012,                 0.8677,              0.0011664,              0.0011664,              0.0011664
                     94,                 0.9321,                 1.2664,                0.87558,                0.50957,                0.76839,                0.58912,                0.43154,                 0.9805,                 1.2012,                 0.8677,              0.0011609,              0.0011609,              0.0011609
                     95,                 1.1312,                 1.2334,                 0.9038,                0.50957,                0.76839,                0.58912,                0.43154,                 0.9805,                 1.2012,                 0.8677,              0.0011554,              0.0011554,              0.0011554
                     96,                 1.0746,                 1.2083,                0.90798,                0.51101,                0.77384,                0.59599,                0.43217,                 1.0193,                 1.1912,                0.87287,              0.0011499,              0.0011499,              0.0011499
                     97,                0.99812,                 1.0772,                0.88744,                0.51101,                0.77384,                0.59599,                0.43217,                 1.0193,                 1.1912,                0.87287,              0.0011444,              0.0011444,              0.0011444
                     98,                0.97372,                 1.1779,                 0.8906,                0.51101,                0.77384,                0.59599,                0.43217,                 1.0193,                 1.1912,                0.87287,              0.0011389,              0.0011389,              0.0011389
                     99,                0.97134,                 1.2112,                0.87856,                0.51264,                0.77474,                0.59521,                0.45087,                0.90558,                 1.1836,                0.86145,              0.0011334,              0.0011334,              0.0011334
                    100,                0.86579,                0.97704,                0.88317,                0.51264,                0.77474,                0.59521,                0.45087,                0.90558,                 1.1836,                0.86145,              0.0011279,              0.0011279,              0.0011279
                    101,                0.91007,                 1.1818,                 0.8713,                0.51264,                0.77474,                0.59521,                0.45087,                0.90558,                 1.1836,                0.86145,              0.0011224,              0.0011224,              0.0011224
                    102,                 1.0005,                 1.0959,                0.88328,                0.51264,                0.77474,                0.59521,                0.45087,                0.90558,                 1.1836,                0.86145,              0.0011169,              0.0011169,              0.0011169
                    103,                0.96163,                 1.1637,                0.88097,                0.50896,                 0.7752,                0.59747,                0.46797,                0.83722,                 1.1831,                0.85112,              0.0011114,              0.0011114,              0.0011114
                    104,                0.91316,                 1.1713,                  0.877,                0.50896,                 0.7752,                0.59747,                0.46797,                0.83722,                 1.1831,                0.85112,              0.0011059,              0.0011059,              0.0011059
                    105,                 1.0196,                 1.1293,                0.87851,                0.50896,                 0.7752,                0.59747,                0.46797,                0.83722,                 1.1831,                0.85112,              0.0011004,              0.0011004,              0.0011004
                    106,                0.99833,                 1.0838,                 0.8865,                0.51413,                0.78065,                0.59717,                0.46776,                0.83637,                 1.1704,                0.85077,              0.0010949,              0.0010949,              0.0010949
                    107,                0.95793,                 1.1908,                0.87746,                0.51413,                0.78065,                0.59717,                0.46776,                0.83637,                 1.1704,                0.85077,              0.0010894,              0.0010894,              0.0010894
                    108,                0.93994,                 1.0897,                0.89457,                0.51413,                0.78065,                0.59717,                0.46776,                0.83637,                 1.1704,                0.85077,              0.0010839,              0.0010839,              0.0010839
                    109,                0.93589,                 1.0943,                0.88303,                0.51733,                0.79292,                0.59998,                0.46185,                0.84321,                 1.1533,                0.85668,              0.0010784,              0.0010784,              0.0010784
                    110,                0.93249,                 1.1325,                0.89121,                0.51733,                0.79292,                0.59998,                0.46185,                0.84321,                 1.1533,                0.85668,              0.0010729,              0.0010729,              0.0010729
                    111,                 0.9486,                 1.1222,                0.88986,                0.51733,                0.79292,                0.59998,                0.46185,                0.84321,                 1.1533,                0.85668,              0.0010674,              0.0010674,              0.0010674
                    112,                0.96795,                 1.0637,                0.89874,                  0.521,                0.80319,                0.60758,                0.46273,                0.86433,                 1.1388,                0.86348,              0.0010619,              0.0010619,              0.0010619
                    113,                0.90542,                  1.011,                0.88808,                  0.521,                0.80319,                0.60758,                0.46273,                0.86433,                 1.1388,                0.86348,              0.0010564,              0.0010564,              0.0010564
                    114,                0.87488,                 1.0594,                 0.8833,                  0.521,                0.80319,                0.60758,                0.46273,                0.86433,                 1.1388,                0.86348,              0.0010509,              0.0010509,              0.0010509
                    115,                0.93266,                 1.0949,                0.87841,                0.51029,                0.78474,                0.59164,                0.45391,                 0.8766,                 1.1169,                0.86569,              0.0010454,              0.0010454,              0.0010454
                    116,                0.88993,                 1.0404,                 0.8798,                0.51029,                0.78474,                0.59164,                0.45391,                 0.8766,                 1.1169,                0.86569,              0.0010399,              0.0010399,              0.0010399
                    117,                0.87207,                 1.1087,                0.87124,                0.51029,                0.78474,                0.59164,                0.45391,                 0.8766,                 1.1169,                0.86569,              0.0010344,              0.0010344,              0.0010344
                    118,                0.83861,                 1.0641,                0.88345,                0.51029,                0.78474,                0.59164,                0.45391,                 0.8766,                 1.1169,                0.86569,              0.0010289,              0.0010289,              0.0010289
                    119,                0.88281,                 1.0952,                0.87538,                0.50864,                0.78202,                0.60928,                0.46346,                 0.8896,                 1.0947,                0.86389,              0.0010234,              0.0010234,              0.0010234
                    120,                0.95363,                 1.0369,                0.89657,                0.50864,                0.78202,                0.60928,                0.46346,                 0.8896,                 1.0947,                0.86389,              0.0010179,              0.0010179,              0.0010179
                    121,                 0.9603,                 1.0582,                0.88059,                0.50864,                0.78202,                0.60928,                0.46346,                 0.8896,                 1.0947,                0.86389,              0.0010124,              0.0010124,              0.0010124
                    122,                0.86948,                 1.0077,                0.88441,                0.50875,                0.77341,                 0.6177,                0.47558,                0.84661,                 1.0872,                0.85568,              0.0010069,              0.0010069,              0.0010069
                    123,                0.91749,                0.97728,                0.88416,                0.50875,                0.77341,                 0.6177,                0.47558,                0.84661,                 1.0872,                0.85568,              0.0010014,              0.0010014,              0.0010014
                    124,                0.92641,                  1.005,                0.86942,                0.50875,                0.77341,                 0.6177,                0.47558,                0.84661,                 1.0872,                0.85568,             0.00099587,             0.00099587,             0.00099587
                    125,                0.83393,                 1.0392,                0.86921,                0.50817,                0.77929,                 0.6163,                0.47578,                0.85214,                 1.0666,                0.85398,             0.00099036,             0.00099036,             0.00099036
                    126,                0.88175,                  0.975,                0.89529,                0.50817,                0.77929,                 0.6163,                0.47578,                0.85214,                 1.0666,                0.85398,             0.00098486,             0.00098486,             0.00098486
                    127,                0.89669,                0.98592,                0.88415,                0.50817,                0.77929,                 0.6163,                0.47578,                0.85214,                 1.0666,                0.85398,             0.00097936,             0.00097936,             0.00097936
                    128,                0.89471,                0.99423,                 0.8701,                0.51497,                0.78883,                0.63122,                0.48754,                0.83388,                 1.0544,                0.85224,             0.00097386,             0.00097386,             0.00097386
                    129,                0.93547,                0.98684,                0.89833,                0.51497,                0.78883,                0.63122,                0.48754,                0.83388,                 1.0544,                0.85224,             0.00096836,             0.00096836,             0.00096836
                    130,                0.91887,                 1.0143,                0.86845,                0.51497,                0.78883,                0.63122,                0.48754,                0.83388,                 1.0544,                0.85224,             0.00096286,             0.00096286,             0.00096286
                    131,                0.87321,                 1.0026,                0.88631,                 0.5222,                0.80518,                0.62761,                0.47375,                0.88582,                 1.0453,                 0.8588,             0.00095736,             0.00095736,             0.00095736
                    132,                0.90222,                0.99228,                0.87642,                 0.5222,                0.80518,                0.62761,                0.47375,                0.88582,                 1.0453,                 0.8588,             0.00095186,             0.00095186,             0.00095186
                    133,                0.92376,                0.96496,                0.88815,                 0.5222,                0.80518,                0.62761,                0.47375,                0.88582,                 1.0453,                 0.8588,             0.00094636,             0.00094636,             0.00094636
                    134,                0.98029,                 1.0678,                 0.8985,                 0.5222,                0.80518,                0.62761,                0.47375,                0.88582,                 1.0453,                 0.8588,             0.00094085,             0.00094085,             0.00094085
